1960 Rho, What -- 1960 Rho
Administrator Sean O'Keefe, Who -- Administrator Sean O'Keefe
Adriatic Sea, Where -- Adriatic Sea
Advanced Avionics Module, What -- Advanced Avionics Module
Advanced Camera for Surveys, What -- Advanced Camera for Surveys
Advanced Communication Technology Satellite (ACTS), What -- Advanced Communication Technology Satellite (ACTS)
Advanced OSO, What -- Advanced OSO
Advanced Spaceborne Thermal Emission and Reflection Radiometer, What -- Advanced Spaceborne Thermal Emission and Reflection Radiometer
Advanced Synthetic Aperture Radar, What -- Advanced Synthetic Aperture Radar
AE-A, What -- AE-A
AE-B, What -- AE-B
AE-C, What -- AE-C
AE-D, What -- AE-D
AE-E, What -- AE-E
Aegean Sea, Where -- Aegean Sea
Aerogel Dust Collector, What -- Aerogel Dust Collector
Aeronomy of Ice in the Mesosphere, What -- Aeronomy of Ice in the Mesosphere
Aeros-A, What -- Aeros-A
Aerosat-A, What -- Aerosat-A
Aerosat-B, What -- Aerosat-B
Aerosat-C, What -- Aerosat-C
Aeros-B, What -- Aeros-B
Afghanistan, Where -- Afghanistan
AFP-675, What -- AFP-675
AFP-888, What -- AFP-888
Afristar, What -- Afristar
Agena, What -- Agena
AGENA, What -- AGENA
Agila 2, What -- Agila 2
AGILE, What -- AGILE
Ahmedabad, Where -- Ahmedabad
Ain, What -- Ain
Ain al Rami, What -- Ain al Rami
Airborne Synthetic Aperture Radar, What -- Airborne Synthetic Aperture Radar
AIRS, What -- AIRS
AirSAR, What -- AirSAR
AIRSAR, What -- AIRSAR
Akari, What -- Akari
Akebono, What -- Akebono
Alabama, Where -- Alabama
Aladfar, What -- Aladfar
Alan Bean, Who -- Alan Bean
Alan B. Shepard, Who -- Alan B. Shepard
Alan G. Poindexter, Who -- Alan G. Poindexter
Al Anz, What -- Al Anz
Alaska, Where -- Alaska
Alathfar, What -- Alathfar
Albaldah, What -- Albaldah
Albali, What -- Albali
Albania, Where -- Albania
Albany, Where -- Albany
Alben Barkley, Who -- Alben Barkley
Alben W. Barkley, Who -- Alben W. Barkley
Albert Sacco, Who -- Albert Sacco
ALBIREO, What -- ALBIREO
Alboran Sea, Where -- Alboran Sea
Alchiba, What -- Alchiba
ALCOR, What -- ALCOR
ALCYONE, What -- ALCYONE
ALDEBARAN, What -- ALDEBARAN
ALDERAMIN, What -- ALDERAMIN
Aldhibah, What -- Aldhibah
Aleksandr Balandin, Who -- Aleksandr Balandin
Aleksandr Ivanchenkov, Who -- Aleksandr Ivanchenkov
Aleksandr Laveykin, Who -- Aleksandr Laveykin
Aleksandr Lazutkin, Who -- Aleksandr Lazutkin
Aleksandr Panayotov Aleksandrov, Who -- Aleksandr Panayotov Aleksandrov
Aleksandr Pavlovich Aleksandrov, Who -- Aleksandr Pavlovich Aleksandrov
Aleksandr Serebrov, Who -- Aleksandr Serebrov
Aleksei Gubarev, Who -- Aleksei Gubarev
Aleksei Leonov, Who -- Aleksei Leonov
Aleksei Sorokin, Who -- Aleksei Sorokin
Aleksei Yeliseyev, Who -- Aleksei Yeliseyev
Alexander Kaleri, Who -- Alexander Kaleri
Alexander Poleshchuk, Who -- Alexander Poleshchuk
Alexander Viktorenko, Who -- Alexander Viktorenko
Alexander Volkov, Who -- Alexander Volkov
Alexis, What -- Alexis
Alfecca Meridiana, What -- Alfecca Meridiana
Alfirk, What -- Alfirk
Alfred Worden, Who -- Alfred Worden
ALGENIB, What -- ALGENIB
Algeria, Where -- Algeria
ALGIEBA, What -- ALGIEBA
Algiers, Where -- Algiers
ALGOL, What -- ALGOL
Algorab, What -- Algorab
Al Gore, Who -- Al Gore
Al Gore, Who -- Al Gore
Al Gore, Who -- Al Gore
ALHENA, What -- ALHENA
Alice Ultraviolet Spectrometer, What -- Alice Ultraviolet Spectrometer
ALIOTH, What -- ALIOTH
ALKAID, What -- ALKAID
Al Kalb al Rai, What -- Al Kalb al Rai
Alkalurops, What -- Alkalurops
Alkes, What -- Alkes
Alkurhah, What -- Alkurhah
ALMAAK, What -- ALMAAK
Almaty, Where -- Almaty
Almaz 1, What -- Almaz 1
Al Minliar al Asad, What -- Al Minliar al Asad
Al Minliar al Shuja, What -- Al Minliar al Shuja
ALNAIR, What -- ALNAIR
ALNATH, What -- ALNATH
ALNILAM, What -- ALNILAM
ALNITAK, What -- ALNITAK
Alniyat, What -- Alniyat
Alofi, Where -- Alofi
ALOS, What -- ALOS
Alouette 1, What -- Alouette 1
Alouette 2, What -- Alouette 2
Alpha Particle X-ray Spectrometer, What -- Alpha Particle X-ray Spectrometer
Alpha Proton X-ray Spectrometer, What -- Alpha Proton X-ray Spectrometer
ALPHARD, What -- ALPHARD
ALPHEKKA, What -- ALPHEKKA
ALPHERATZ, What -- ALPHERATZ
Alphonse V. Diaz, Who -- Alphonse V. Diaz
Alrai, What -- Alrai
Alrisha, What -- Alrisha
Alsafi, What -- Alsafi
Alsat 1, What -- Alsat 1
Alsciaukat, What -- Alsciaukat
ALSHAIN, What -- ALSHAIN
Alshat, What -- Alshat
Alsuhail, What -- Alsuhail
ALTAIR, What -- ALTAIR
Altarf, What -- Altarf
Alterf, What -- Alterf
Altimeter, What -- Altimeter
Aludra, What -- Aludra
Alula Australis, What -- Alula Australis
Alula Borealis, What -- Alula Borealis
Alya, What -- Alya
Alzirr, What -- Alzirr
AM 0644-741, Where -- AM 0644-741
Amazonas, What -- Amazonas
AMC 10, What -- AMC 10
AMC 11, What -- AMC 11
AMC 12, What -- AMC 12
AMC 14, What -- AMC 14
AMC 15, What -- AMC 15
AMC 16, What -- AMC 16
AMC 18, What -- AMC 18
AMC 9, What -- AMC 9
American Samoa, Where -- American Samoa
Ames Research Center (ARC), Where -- Ames Research Center (ARC)
Amman, Where -- Amman
AMOS 1, What -- AMOS 1
Amos 2, What -- Amos 2
AMPS, What -- AMPS
AMPTE/CCE, What -- AMPTE/CCE
AMPTE/IRM, What -- AMPTE/IRM
AMPTE/UKS, What -- AMPTE/UKS
AMS 23, What -- AMS 23
Amsat, What -- Amsat
AMSAT P3D, What -- AMSAT P3D
AMSC-1, What -- AMSC-1
Amsterdam, Where -- Amsterdam
Amundsen Gulf, Where -- Amundsen Gulf
Amundsen Sea, Where -- Amundsen Sea
Anatoli Berezovoy, Who -- Anatoli Berezovoy
Anatoli Filipchenko, Who -- Anatoli Filipchenko
Anatoli Levchenko, Who -- Anatoli Levchenko
Anatoly Artsebarsky, Who -- Anatoly Artsebarsky
Anatoly Solovyev, Who -- Anatoly Solovyev
Ancha, What -- Ancha
Andaman Sea, Where -- Andaman Sea
ANDE FCal, What -- ANDE FCal
ANDE MAA, What -- ANDE MAA
Andorra, Where -- Andorra
Andorra la Vella, Where -- Andorra la Vella
Andrew J. Stofan, Who -- Andrew J. Stofan
Andrew M. Allen, Who -- Andrew M. Allen
Andrew Thomas, Who -- Andrew Thomas
Andrian Nikolayev, Who -- Andrian Nikolayev
Andr? Kuipers, Who -- Andr? Kuipers
Andromeda, What -- Andromeda
Andromeda Galaxy, Where -- Andromeda Galaxy
Andromeda I, Where -- Andromeda I
and seventeen others, Where -- and seventeen others
Angetenar, What -- Angetenar
Angola, Where -- Angola
Anguilla, Where -- Anguilla
Anik A1, What -- Anik A1
Anik A2, What -- Anik A2
Anik A3, What -- Anik A3
Anik B1, What -- Anik B1
Anik D1, What -- Anik D1
Anik D2, What -- Anik D2
Anik E1, What -- Anik E1
Anik E2, What -- Anik E2
Anik F1, What -- Anik F1
Anik F1R, What -- Anik F1R
Anik F2, What -- Anik F2
Anik F3, What -- Anik F3
ANKAA, What -- ANKAA
Ankara, Where -- Ankara
Anna 1A, What -- Anna 1A
Anna 1B, What -- Anna 1B
Anna Fisher, Who -- Anna Fisher
Annapolis, Where -- Annapolis
ANS, What -- ANS
Anser, What -- Anser
Antananarivo, Where -- Antananarivo
ANTARES, What -- ANTARES
Antennae Galaxies, Where -- Antennae Galaxies
Anthony W. England, Who -- Anthony W. England
Antigua and Barbuda, Where -- Antigua and Barbuda
Antlia, What -- Antlia
Apex, What -- Apex
APEX-MAIN, What -- APEX-MAIN
Apia, Where -- Apia
Apollo 10, What -- Apollo 10
Apollo 11, What -- Apollo 11
Apollo 12, What -- Apollo 12
Apollo 13, What -- Apollo 13
Apollo 14, What -- Apollo 14
Apollo 15, What -- Apollo 15
Apollo 16, What -- Apollo 16
Apollo 17, What -- Apollo 17
Apollo 4, What -- Apollo 4
Apollo 5, What -- Apollo 5
Apollo 6, What -- Apollo 6
Apollo 7, What -- Apollo 7
Apollo 8, What -- Apollo 8
Apollo 9, What -- Apollo 9
Apollo AS-203, What -- Apollo AS-203
Apollo Lunar Series, What -- Apollo Lunar Series
Apstar 1A, What -- Apstar 1A
Apstar 2R, What -- Apstar 2R
Apstar 6, What -- Apstar 6
Apstar A1, What -- Apstar A1
Apus, What -- Apus
Aqua, What -- Aqua
Aquarius, What -- Aquarius
Aquarius Dwarf, Where -- Aquarius Dwarf
Aquila, What -- Aquila
Ara, What -- Ara
Arabian Sea, Where -- Arabian Sea
Arabsat 1, What -- Arabsat 1
Arabsat 1B, What -- Arabsat 1B
Arabsat 1C, What -- Arabsat 1C
Arabsat 2A, What -- Arabsat 2A
Arabsat 2B, What -- Arabsat 2B
Arabsat 3A, What -- Arabsat 3A
Arabsat 4A, What -- Arabsat 4A
ArabSat 4B, What -- ArabSat 4B
Arafura Sea, Where -- Arafura Sea
Aral Sea, Where -- Aral Sea
Arasene, What -- Arasene
Arctic Ocean, Where -- Arctic Ocean
ARCTURUS, What -- ARCTURUS
Argentina, Where -- Argentina
Argentine Sea, Where -- Argentine Sea
ARGOS, What -- ARGOS
Ariane 4 Rocket Body, What -- Ariane 4 Rocket Body
Ariane V1, What -- Ariane V1
Ariane V2, What -- Ariane V2
Ariane V3, What -- Ariane V3
Ariane V4, What -- Ariane V4
Ariel 1, What -- Ariel 1
Ariel 2, What -- Ariel 2
Ariel 3, What -- Ariel 3
Ariel 4, What -- Ariel 4
Ariel 5, What -- Ariel 5
Ariel 6, What -- Ariel 6
Ariel, What -- Ariel
Ariel, Where -- Ariel
Aries, What -- Aries
Arizona, Where -- Arizona
Arkab Posterior, What -- Arkab Posterior
Arkab Prior, What -- Arkab Prior
Arkansas, Where -- Arkansas
Armenia, Where -- Armenia
Arnaldo Tamayo M?ndez, Who -- Arnaldo Tamayo M?ndez
ARNEB, What -- ARNEB
Arnold Torres, Who -- Arnold Torres
Arp 299, Where -- Arp 299
Arrakis, What -- Arrakis
Artemis, What -- Artemis
Arthur G. Stephenson, Who -- Arthur G. Stephenson
Artificial Comet, What -- Artificial Comet
Aruba, Where -- Aruba
Aryabhata, What -- Aryabhata
AS-201, What -- AS-201
AS-202, What -- AS-202
ASAR, What -- ASAR
ASC 1, What -- ASC 1
ASC-2, What -- ASC-2
ASCA, What -- ASCA
Ascella, What -- Ascella
A. Scott Crossfield, Who -- A. Scott Crossfield
Asellus Australis, What -- Asellus Australis
Asellus Borealis, What -- Asellus Borealis
Asellus Primus, What -- Asellus Primus
Asellus Secondus, What -- Asellus Secondus
Asellus Tertius, What -- Asellus Tertius
Ashgabat, Where -- Ashgabat
AsiaSat 1, What -- AsiaSat 1
AsiaSat 2, What -- AsiaSat 2
AsiaSat 3, What -- AsiaSat 3
AsiaSat 3S, What -- AsiaSat 3S
Asiasat 4, What -- Asiasat 4
Asiastar, What -- Asiastar
Asmara, Where -- Asmara
Astana, Where -- Astana
ASTER, What -- ASTER
Asterope, What -- Asterope
ASTP-Apollo, What -- ASTP-Apollo
ASTP-Soyuz, What -- ASTP-Soyuz
Astra 1A, What -- Astra 1A
Astra 1B, What -- Astra 1B
Astra 1C, What -- Astra 1C
Astra 1D, What -- Astra 1D
Astra 1E, What -- Astra 1E
Astra 1F, What -- Astra 1F
Astra 1G, What -- Astra 1G
Astra 1H, What -- Astra 1H
Astra 1K, What -- Astra 1K
Astra 1KR, What -- Astra 1KR
Astra 1L, What -- Astra 1L
Astra 2A, What -- Astra 2A
Astra 2B, What -- Astra 2B
Astra 2C, What -- Astra 2C
Astra 2D, What -- Astra 2D
Astra 3A, What -- Astra 3A
Astrid 2, What -- Astrid 2
Astrid, What -- Astrid
Astro 1, What -- Astro 1
Astro 2, What -- Astro 2
Astro-C, What -- Astro-C
Astromag FF, What -- Astromag FF
ASTRON, What -- ASTRON
Asunci?n, Where -- Asunci?n
Asuncion, Where -- Asuncion
ASUSat, What -- ASUSat
ATEx, What -- ATEx
Athens, Where -- Athens
Atik, What -- Atik
Atlanta, Where -- Atlanta
Atlantic Bird 2, What -- Atlantic Bird 2
Atlantic Bird, What -- Atlantic Bird
Atlantic Ocean, Where -- Atlantic Ocean
Atlas 1 / STS 45, What -- Atlas 1 / STS 45
Atlas 2, What -- Atlas 2
Atlas 3, What -- Atlas 3
Atlas 4, What -- Atlas 4
Atlas, What -- Atlas
Atlas Centaur 2, What -- Atlas Centaur 2
Atlas Centaur 3, What -- Atlas Centaur 3
Atlas Centaur 4, What -- Atlas Centaur 4
Atlas Centaur 5, What -- Atlas Centaur 5
Atlas Centaur 6, What -- Atlas Centaur 6
Atlas Centaur 8, What -- Atlas Centaur 8
Atlas Centaur 9, What -- Atlas Centaur 9
Atmospheric Infrared Sounder, What -- Atmospheric Infrared Sounder
Atmospheric Structure, What -- Atmospheric Structure
ATS 1, What -- ATS 1
ATS 2, What -- ATS 2
ATS 3, What -- ATS 3
ATS 4, What -- ATS 4
ATS 5, What -- ATS 5
ATS 6, What -- ATS 6
ATS C-2, What -- ATS C-2
ATS-G, What -- ATS-G
Attard, Where -- Attard
Aua, Where -- Aua
Auckland, Where -- Auckland
Augusta, Where -- Augusta
Aura, What -- Aura
Aureol 1, What -- Aureol 1
Aureol 2, What -- Aureol 2
Aureol 3, What -- Aureol 3
Auriga, What -- Auriga
Aurora 1, What -- Aurora 1
Aurora 2, What -- Aurora 2
Aurorae, What -- Aurorae
AUSSAT A1, What -- AUSSAT A1
AUSSAT A2, What -- AUSSAT A2
AUSSAT A3, What -- AUSSAT A3
AUSSAT B1, What -- AUSSAT B1
AUSSAT B2, What -- AUSSAT B2
Austin, Where -- Austin
Australia, Where -- Australia
Austria, Where -- Austria
Autonomous Navigation System, What -- Autonomous Navigation System
Auva, What -- Auva
Avarua, Where -- Avarua
Avior, What -- Avior
Ayame 1, What -- Ayame 1
Ayame 2, What -- Ayame 2
Azelfafage, What -- Azelfafage
Azerbaijan, Where -- Azerbaijan
Azha, What -- Azha
Azmidiske, What -- Azmidiske
Azur, What -- Azur
BADR 2, What -- BADR 2
BADR-A, What -- BADR-A
Baffin Bay, Where -- Baffin Bay
Baghdad, Where -- Baghdad
Bahamas, Where -- Bahamas
Baham, What -- Baham
Bahrain, Where -- Bahrain
Baku, Where -- Baku
Baltic Sea, Where -- Baltic Sea
B. Alvin Drew, Who -- B. Alvin Drew
Bamako, Where -- Bamako
Bandar Seri Begawan, Where -- Bandar Seri Begawan
Banda Sea, Where -- Banda Sea
Bangalore, Where -- Bangalore
Bangkok, Where -- Bangkok
Bangladesh, Where -- Bangladesh
Bangui, Where -- Bangui
Banjul, Where -- Banjul
Barbados, Where -- Barbados
Barents Sea, Where -- Barents Sea
Barnards galaxy, Where -- Barnards galaxy
Basel, Where -- Basel
Basseterre, Where -- Basseterre
Bass Strait, Where -- Bass Strait
Baten Kaitos, What -- Baten Kaitos
Baton Rouge, Where -- Baton Rouge
BATSAT, What -- BATSAT
Batticaloa, Where -- Batticaloa
Bay of Bengal, Where -- Bay of Bengal
Bay of Bothnia, Where -- Bay of Bothnia
Bay of Campeche, Where -- Bay of Campeche
Bay of Fundy, Where -- Bay of Fundy
Beacon 2, What -- Beacon 2
Beacon, What -- Beacon
Beacon Explorer-A, What -- Beacon Explorer-A
Beagle 2, What -- Beagle 2
Beam, What -- Beam
Beaufort Sea, Where -- Beaufort Sea
BE-B, What -- BE-B
BE-C, What -- BE-C
Becrux, What -- Becrux
Beid, What -- Beid
Beidou 1A, What -- Beidou 1A
Beidou 1B, What -- Beidou 1B
Beidou 1C, What -- Beidou 1C
Beidou 2A, What -- Beidou 2A
Beidou M1, What -- Beidou M1
Beijing, Where -- Beijing
Beirut, Where -- Beirut
Belarus, Where -- Belarus
Belgium, Where -- Belgium
Belgrade, Where -- Belgrade
Belize, Where -- Belize
Belize City, Where -- Belize City
BELLATRIX, What -- BELLATRIX
Bellingshausen Sea, Where -- Bellingshausen Sea
Belmopan, Where -- Belmopan
Belo Horizonte, Where -- Belo Horizonte
Benin, Where -- Benin
BepiColombo, What -- BepiColombo
Bering Sea, Where -- Bering Sea
Berlin, Where -- Berlin
Bermuda, Where -- Bermuda
Bernard Harris, Who -- Bernard Harris
Bern, Where -- Bern
Bertalan Farkas, Who -- Bertalan Farkas
BETELGEUSE, What -- BETELGEUSE
Bhaskara 2, What -- Bhaskara 2
Bhaskara, What -- Bhaskara
Bhutan, Where -- Bhutan
Biafra, Where -- Biafra
Bilsat 1, What -- Bilsat 1
Bion 10, What -- Bion 10
Bion 11, What -- Bion 11
Bion 1, What -- Bion 1
Bion 2, What -- Bion 2
Bion 3, What -- Bion 3
Bion 4, What -- Bion 4
Bion 5, What -- Bion 5
Bion 6, What -- Bion 6
Bion 7, What -- Bion 7
Bion 8, What -- Bion 8
Bion 9, What -- Bion 9
Biosatellite 1, What -- Biosatellite 1
Biosatellite 2, What -- Biosatellite 2
Biosatellite 3, What -- Biosatellite 3
Biosatellite-C, What -- Biosatellite-C
Biosatellite-E, What -- Biosatellite-E
Biosatellite-F, What -- Biosatellite-F
BIRD 2, What -- BIRD 2
Bird-Ruben + Rocket Body, What -- Bird-Ruben + Rocket Body
Birkirkara, Where -- Birkirkara
Birzebbugia, Where -- Birzebbugia
Bishkek, Where -- Bishkek
Bismarck, Where -- Bismarck
Bismarck Sea, Where -- Bismarck Sea
Bissau, Where -- Bissau
Bjarni Tryggvason, Who -- Bjarni Tryggvason
Black Eye Galaxy, Where -- Black Eye Galaxy
Black Sea, Where -- Black Sea
Blantyre, Where -- Blantyre
Bloemfontein, Where -- Bloemfontein
Bluebell 2C(Cylinder), What -- Bluebell 2C(Cylinder)
Bluebell 2S (Sphere), What -- Bluebell 2S (Sphere)
BNSCSAT, What -- BNSCSAT
Bode's Galaxy, Where -- Bode's Galaxy
Bogota, Where -- Bogota
Bohol Sea, Where -- Bohol Sea
Boise, Where -- Boise
Bolivia, Where -- Bolivia
Bonnie J. Dunbar, Who -- Bonnie J. Dunbar
Bonum 1, What -- Bonum 1
Booetes, What -- Booetes
Boreas, What -- Boreas
Boris Morukov, Who -- Boris Morukov
Boris Volynov, Who -- Boris Volynov
Boris Yegorov, Who -- Boris Yegorov
Bosnia and Herzegovina, Where -- Bosnia and Herzegovina
Boston, Where -- Boston
Botein, What -- Botein
Bo?tes, What -- Bo?tes
Bothnian Sea, Where -- Bothnian Sea
Botswana, Where -- Botswana
Brachium, What -- Brachium
Brasilia, Where -- Brasilia
Bratislava, Where -- Bratislava
Brazil-A, What -- Brazil-A
Brazil-B, What -- Brazil-B
Brazil, Where -- Brazil
Brazilsat 1, What -- Brazilsat 1
Brazilsat 2, What -- Brazilsat 2
Brazilsat B-1, What -- Brazilsat B-1
Brazilsat B-2, What -- Brazilsat B-2
Brazilsat B-3, What -- Brazilsat B-3
Brazilsat B4, What -- Brazilsat B4
Brazzaville, Where -- Brazzaville
Bremsat, What -- Bremsat
Brent W. Jett, Who -- Brent W. Jett
Brewster Shaw, Who -- Brewster Shaw
Brian Binnie, Who -- Brian Binnie
Brian Duffy, Who -- Brian Duffy
Bridgetown, Where -- Bridgetown
Brisbane, Where -- Brisbane
British Virgin Islands, Where -- British Virgin Islands
Bruce A. Peterson, Who -- Bruce A. Peterson
Bruce McCandless II, Who -- Bruce McCandless II
Bruce Melnick, Who -- Bruce Melnick
Brunei Darussalam, Where -- Brunei Darussalam
Brussels, Where -- Brussels
Bryan O'Connor, Who -- Bryan O'Connor
BS-2A, What -- BS-2A
BS-2B, What -- BS-2B
BS-3A, What -- BS-3A
BS-3B, What -- BS-3B
BS-3N, What -- BS-3N
BSAT-1A, What -- BSAT-1A
BSAT-1B, What -- BSAT-1B
BSAT 2A, What -- BSAT 2A
BSAT 2B, What -- BSAT 2B
B-Sat 2C, What -- B-Sat 2C
BSAT-3A, What -- BSAT-3A
BSB-R1, What -- BSB-R1
BSB-R2, What -- BSB-R2
Bucharest, Where -- Bucharest
Budapest, Where -- Budapest
Buenos Aires, Where -- Buenos Aires
Bujumbura, Where -- Bujumbura
Bulgaria, Where -- Bulgaria
Buran, What -- Buran
Burkina Faso, Where -- Burkina Faso
Burnt Pine, Where -- Burnt Pine
Burundi, Where -- Burundi
Buzz Aldrin, Who -- Buzz Aldrin
Byron Lichtenberg, Who -- Byron Lichtenberg
Caelum, What -- Caelum
Cairo, Where -- Cairo
Cakrawarta 1, What -- Cakrawarta 1
California, Where -- California
CALIPSO, What -- CALIPSO
Callisto, What -- Callisto
Callisto, Where -- Callisto
CalPoly 3, What -- CalPoly 3
Calsphere 1A, What -- Calsphere 1A
Calsphere 2, What -- Calsphere 2
Calsphere 3, What -- Calsphere 3
Calsphere 4A, What -- Calsphere 4A
Calsphere 4, What -- Calsphere 4
Calsphere 5, What -- Calsphere 5
Calsphere, What -- Calsphere
Cambodia, Where -- Cambodia
Cambridge Bay, Where -- Cambridge Bay
Camelopardalis, What -- Camelopardalis
CAMEO, What -- CAMEO
Camera 1, What -- Camera 1
Camera 2, What -- Camera 2
Cameroon, Where -- Cameroon
Camotes Sea, Where -- Camotes Sea
Campbell Jay, Who -- Campbell Jay
Canada, Where -- Canada
Canberra, Where -- Canberra
Canberra Deep Space Communication Complex, Where -- Canberra Deep Space Communication Complex
Cancer, What -- Cancer
Canes Venatici, What -- Canes Venatici
CANEX-2, What -- CANEX-2
Canis Major, What -- Canis Major
Canis Major Dwarf Galaxy, Where -- Canis Major Dwarf Galaxy
Canis Minor, What -- Canis Minor
Cannon Ball 2, What -- Cannon Ball 2
CANOPUS, What -- CANOPUS
CANX 1, What -- CANX 1
Canyon 1, What -- Canyon 1
Canyon 2, What -- Canyon 2
Canyon 3, What -- Canyon 3
Canyon 5, What -- Canyon 5
Canyon 6, What -- Canyon 6
Canyon 7, What -- Canyon 7
Cape 1, What -- Cape 1
CAPELLA, What -- CAPELLA
Cape Town, Where -- Cape Town
Cape Verde, Where -- Cape Verde
Caph, What -- Caph
Capricorn, What -- Capricorn
Capricornus, What -- Capricornus
Capt. William C. Fortune, Who -- Capt. William C. Fortune
Caracas, Where -- Caracas
Caribbean Sea, Where -- Caribbean Sea
Carina, What -- Carina
Carina Dwarf, Where -- Carina Dwarf
Carl Meade, Who -- Carl Meade
Carlos I. Noriega, Who -- Carlos I. Noriega
Carl Walz, Who -- Carl Walz
Carolyn S. Griner, Who -- Carolyn S. Griner
Carson City, Where -- Carson City
Cartosat 1, What -- Cartosat 1
CartoSat 2A, What -- CartoSat 2A
Casablanca, Where -- Casablanca
CAS-B, What -- CAS-B
Caspian Sea, Where -- Caspian Sea
Cassini, What -- Cassini
Cassini-Huygens, What -- Cassini-Huygens
Cassini Orbiter, What -- Cassini Orbiter
